trap_id,latitude,longitude,reporting_area,Status,collected_at,ID Type,eggs_caught,#aeg,#positive
D10,3.3863746,-76.5460353,Comuna 18,FALSE,"Nov 5, 2020 16:19:30",Eggs,,,
D3,3.3907795,-76.5519291,Comuna 18,TRUE,"Nov 5, 2020 16:21:41","Larvae, Eggs",483,5,5
D4,3.3902142,-76.5479724,Comuna 18,TRUE,"Nov 5, 2020 16:22:29",Eggs,52,,
D1,3.3953927,-76.5477965,Comuna 18,TRUE,"Nov 5, 2020 16:23:23",Eggs,539,,
D2,3.3950509,-76.5524601,Comuna 18,TRUE,"Nov 5, 2020 16:24:01",Eggs,583,,
D9,3.3941797,-76.5547076,Comuna 18,TRUE,"Nov 5, 2020 16:25:22","Larvae, Eggs",87,5,0
D5,3.395138,-76.5587592,Comuna 18,TRUE,"Nov 5, 2020 16:53:30","Larvae, Eggs, Pupae",759,5,0
D7,3.3903816,-76.5571303,Comuna 18,TRUE,"Nov 5, 2020 16:55:08","Larvae, Eggs, Pupae",755,5,0
D17,3.3884598,-76.5612631,Comuna 18,TRUE,"Nov 5, 2020 16:56:51","Larvae, Eggs, Pupae",455,5,4
D16,3.3839797,-76.565132,Comuna 18,TRUE,"Nov 5, 2020 16:57:25",Eggs,,,
D20,3.3809878,-76.5623641,Comuna 18,FALSE,"Nov 5, 2020 16:58:14",Eggs,,,
D50,3.3778496,-76.5568117,Comuna 18,FALSE,"Nov 5, 2020 16:59:33",Eggs,,,
D6,3.3948675,-76.5605707,Comuna 18,FALSE,"Nov 5, 2020 17:00:02",Eggs,,,
D81,3.3791483,-76.5611292,Comuna 18,TRUE,"Nov 5, 2020 17:01:42","Larvae, Eggs",659,,
D52,3.3741556,-76.55374,Comuna 18,TRUE,"Nov 5, 2020 17:03:14","Larvae, Eggs",940,5,0
D53,3.3740986,-76.5538073,Comuna 18,TRUE,"Nov 5, 2020 17:04:38","Larvae, Eggs, Pupae",460,5,5
D51,3.3777932,-76.5568864,Comuna 18,TRUE,"Nov 6, 2020 8:05:29",Larvae,,,
D69,3.375436,-76.5507905,Comuna 18,TRUE,"Nov 6, 2020 8:07:29","Larvae, Eggs, Pupae",858,5,5
D45,3.3770428,-76.5471856,Comuna 18,TRUE,"Nov 6, 2020 8:08:05",Eggs,,,
D46,3.3769911,-76.5456463,Comuna 18,TRUE,"Nov 6, 2020 8:09:57","Larvae, Eggs, Pupae",,5,1
D44,3.3805011,-76.5449299,Comuna 18,TRUE,"Nov 6, 2020 8:21:39",Eggs,,,
D47,3.3721506,-76.5466925,Comuna 18,TRUE,"Nov 6, 2020 8:28:06","Larvae, Eggs, Pupae",,6,1
D48,3.3720961,-76.5492174,Comuna 18,TRUE,"Nov 6, 2020 8:29:13",Eggs,,,
D54,3.3682811,-76.5554835,Comuna 18,TRUE,"Nov 6, 2020 8:31:02","Larvae, Eggs, Pupae",646,5,5
D11,3.3859503,-76.5502442,Comuna 18,TRUE,"Nov 6, 2020 8:32:03",Eggs,,,
D14,3.3834161,-76.5600077,Comuna 18,TRUE,"Nov 6, 2020 8:33:52",Eggs,176,,
D13,3.3834161,-76.5600077,Comuna 18,FALSE,"Nov 6, 2020 8:35:23",Eggs,,,
D18,3.3904655,-76.5572106,Comuna 18,TRUE,"Nov 6, 2020 8:36:35",Eggs,106,,
D19,3.3869116,-76.5525169,Comuna 18,TRUE,"Nov 6, 2020 8:37:08",Eggs,,,
D71,3.3686448,-76.5554006,Comuna 18,TRUE,"Nov 6, 2020 9:36:40",Eggs,80,,
K76,3.4314801,-76.5511712,Comuna 20,FALSE,"Nov 11, 2020 15:28:11",Eggs,,,
K10,3.4189184,-76.5540612,Comuna 20,TRUE,"Nov 11, 2020 15:31:21",Eggs,,1,0
