trap_id,type,successful,collected_at,reporting_area,total_aegypti_caught,screening_total_aeg,screening_wmel_aeg,latitude,longitude
ASP-3U23MKVR,Aspirator,FALSE,2020-11-26 10:48:11,Comuna 1,,,,3.458972861,-76.55118477
ASP-3WQ6DML5,Aspirator,TRUE,2020-11-26 10:48:55,Comuna 1,2,2,2,3.4588066,-76.5575131
ASP-33XRR0BC,Aspirator,FALSE,2020-11-26 10:49:38,Comuna 1,,,,3.457053924,-76.56150012
ASP-QUEZ5LU5,Aspirator,TRUE,2020-11-26 10:50:21,Comuna 1,7,7,5,3.4540688,-76.5629487
ASP-3YE2DS4H,Aspirator,TRUE,2020-11-26 10:50:53,Comuna 1,0,,,3.452289392,-76.57064186
ASP-G5F0MJFE,Aspirator,FALSE,2020-11-26 10:51:16,Comuna 1,,,,3.45662712,-76.5762574
ASP-IPY6QQPV,Aspirator,FALSE,2020-11-26 10:51:46,Comuna 1,,,,3.456213448,-76.58127572
ASP-5SZE4UA4,Aspirator,FALSE,2020-11-26 10:52:16,Comuna 1,,,,3.459118444,-76.58426249
ASP-17HGK118,Aspirator,FALSE,2020-11-26 10:52:43,Comuna 1,,,,3.461689027,-76.58699175
ASP-LD6T8EVL,Aspirator,FALSE,2020-11-26 10:53:07,Comuna 1,,,,3.465465929,-76.59040677
ASP-IREL246U,Aspirator,TRUE,2020-11-26 10:53:36,Comuna 1,17,17,6,3.4577464,-76.5831649
ASP-NY6R1TX5,Aspirator,FALSE,2020-11-26 10:54:04,Comuna 1,,,,3.454631929,-76.57821436
ASP-O4K94YY6,Aspirator,TRUE,2020-12-02 10:36:22,Comuna 1,2,2,1,3.4552465,-76.5785024
ASP-IREL246U,Aspirator,TRUE,2020-12-02 10:58:25,Comuna 1,15,15,4,3.4577464,-76.5831649
ASP-0WQHS2L5,Aspirator,TRUE,2020-12-02 11:24:03,Comuna 1,6,5,2,3.4623021,-76.5879769
ASP-9HWWXDMC,Aspirator,TRUE,2020-12-02 11:49:00,Comuna 1,2,2,0,3.4541912,-76.5745823
ASP-7W5LYDO3,Aspirator,TRUE,2020-12-02 12:14:41,Comuna 1,0,,,3.4517846,-76.567373
ASP-HP9RKBAN,Aspirator,TRUE,2020-12-02 12:43:40,Comuna 1,0,,,3.4506382,-76.560413
ASP-QUEZ5LU5,Aspirator,TRUE,2020-12-02 13:24:50,Comuna 1,6,6,5,3.4540688,-76.5629487
ASP-FNIILA5P,Aspirator,TRUE,2020-12-02 13:49:57,Comuna 1,2,2,2,3.4525737,-76.564817
ASP-3WQ6DML5,Aspirator,TRUE,2020-12-02 14:06:38,Comuna 1,6,6,5,3.4588066,-76.5575131
ASP-2WRP24W3,Aspirator,TRUE,2020-12-02 14:25:24,Comuna 1,23,23,2,3.459982645,-76.56064008
ASP-AUTQH84S,Aspirator,TRUE,2020-12-02 14:49:35,Comuna 1,2,2,1,3.4571232,-76.5492282
ASP-ML6CS9D1,Aspirator,FALSE,2020-12-02 15:10:24,Comuna 1,,,,3.4548448,-76.567983
ASP-O4K94YY6,Aspirator,TRUE,2020-12-11 9:34:01,Comuna 1,2,2,0,3.4552465,-76.5785024
ASP-9HWWXDMC,Aspirator,TRUE,2020-12-11 9:42:23,Comuna 1,1,1,0,3.4541912,-76.5745823
ASP-0WQHS2L5,Aspirator,TRUE,2020-12-11 11:35:22,Comuna 1,5,5,4,3.4623021,-76.5879769
ASP-IREL246U,Aspirator,TRUE,2020-12-11 11:39:44,Comuna 1,19,19,10,3.4577464,-76.5831649
ASP-QUEZ5LU5,Aspirator,TRUE,2020-12-11 11:42:47,Comuna 1,5,5,4,3.4540688,-76.5629487
ASP-5YRX10OA,Aspirator,TRUE,2020-12-11 12:51:35,Comuna 1,3,3,2,3.4544888,-76.5533869
ASP-H65L3Q1M,Aspirator,TRUE,2020-12-11 13:10:52,Comuna 1,4,4,0,3.4522945,-76.5612814
ASP-LPH9SK1B,Aspirator,TRUE,2020-12-11 13:31:00,Comuna 1,3,3,0,3.4518034,-76.5661569
ASP-HZSEDUEN,Aspirator,TRUE,2020-12-11 13:54:44,Comuna 1,5,5,0,3.4551496,-76.5682684
ASP-2WRP24W3,Aspirator,TRUE,2020-12-11 14:22:08,Comuna 1,8,8,0,3.459982645,-76.56064008
ASP-FNIILA5P,Aspirator,TRUE,2020-12-11 14:40:15,Comuna 1,2,2,2,3.4525737,-76.564817
ASP-3WQ6DML5,Aspirator,TRUE,2020-12-11 14:42:14,Comuna 1,2,2,0,3.4588066,-76.5575131
ASP-AUTQH84S,Aspirator,TRUE,2020-12-11 14:46:07,Comuna 1,11,11,4,3.4571232,-76.5492282
ASP-0WQHS2L5,Aspirator,TRUE,2020-12-14 13:23:36,Comuna 1,3,3,2,3.4623021,-76.5879769
ASP-3WQ6DML5,Aspirator,TRUE,2020-12-14 13:24:10,Comuna 1,2,2,1,3.4588066,-76.5575131
L1,Aspirator,FALSE,2020-12-14 13:34:48,Comuna 1,,,,3.453626741,-76.55691861
L2,Aspirator,FALSE,2020-12-14 13:35:07,Comuna 1,,,,3.45312126,-76.56258344
