trap_id,type,successful,collected_at,reporting_area,total_aegypti_caught,screening_total_aeg,screening_wmel_aeg,latitude,longitude
ASP-3WQ6DML5,Aspirator,True,2020-11-26 10:48:55,Comuna 1,2.0,2.0,2.0,3.4588066,-76.5575131
ASP-QUEZ5LU5,Aspirator,True,2020-11-26 10:50:21,Comuna 1,7.0,7.0,5.0,3.4540687999999995,-76.5629487
ASP-IREL246U,Aspirator,True,2020-11-26 10:53:36,Comuna 1,17.0,17.0,6.0,3.4577464,-76.58316490000001
ASP-O4K94YY6,Aspirator,True,2020-12-02 10:36:22,Comuna 1,2.0,2.0,1.0,3.4552464999999994,-76.5785024
ASP-IREL246U,Aspirator,True,2020-12-02 10:58:25,Comuna 1,15.0,15.0,4.0,3.4577464,-76.58316490000001
ASP-0WQHS2L5,Aspirator,True,2020-12-02 11:24:03,Comuna 1,6.0,5.0,2.0,3.4623021,-76.58797690000002
ASP-9HWWXDMC,Aspirator,True,2020-12-02 11:49:00,Comuna 1,2.0,2.0,0.0,3.4541912000000004,-76.5745823
ASP-QUEZ5LU5,Aspirator,True,2020-12-02 13:24:50,Comuna 1,6.0,6.0,5.0,3.4540687999999995,-76.5629487
ASP-FNIILA5P,Aspirator,True,2020-12-02 13:49:57,Comuna 1,2.0,2.0,2.0,3.4525737000000003,-76.564817
ASP-3WQ6DML5,Aspirator,True,2020-12-02 14:06:38,Comuna 1,6.0,6.0,5.0,3.4588066,-76.5575131
ASP-2WRP24W3,Aspirator,True,2020-12-02 14:25:24,Comuna 1,23.0,23.0,2.0,3.459982645,-76.56064008
ASP-AUTQH84S,Aspirator,True,2020-12-02 14:49:35,Comuna 1,2.0,2.0,1.0,3.4571232000000003,-76.5492282
ASP-O4K94YY6,Aspirator,True,2020-12-11 9:34:01,Comuna 1,2.0,2.0,0.0,3.4552464999999994,-76.5785024
ASP-9HWWXDMC,Aspirator,True,2020-12-11 9:42:23,Comuna 1,1.0,1.0,0.0,3.4541912000000004,-76.5745823
ASP-0WQHS2L5,Aspirator,True,2020-12-11 11:35:22,Comuna 1,5.0,5.0,4.0,3.4623021,-76.58797690000002
ASP-IREL246U,Aspirator,True,2020-12-11 11:39:44,Comuna 1,19.0,19.0,10.0,3.4577464,-76.58316490000001
ASP-QUEZ5LU5,Aspirator,True,2020-12-11 11:42:47,Comuna 1,5.0,5.0,4.0,3.4540687999999995,-76.5629487
ASP-5YRX10OA,Aspirator,True,2020-12-11 12:51:35,Comuna 1,3.0,3.0,2.0,3.4544888,-76.5533869
ASP-H65L3Q1M,Aspirator,True,2020-12-11 13:10:52,Comuna 1,4.0,4.0,0.0,3.4522945,-76.5612814
ASP-LPH9SK1B,Aspirator,True,2020-12-11 13:31:00,Comuna 1,3.0,3.0,0.0,3.4518033999999997,-76.5661569
